t,n,n_configs,pooled_auc,lo,hi,base_rate
1,471,10,0.5151974730148104,0.47119934614867565,0.570337425681753,0.6857749469214437
2,471,10,0.6116642958748222,0.49473937041660165,0.7525376158366955,0.6857749469214437
3,186,7,0.473808973172988,0.28746146376575404,0.5867628890623415,0.5053763440860215
5,142,5,0.4482655502392344,0.22874149659863946,0.5638412898597677,0.5352112676056338
10,126,4,0.469609079445145,0.27531340405014465,0.59727191091954,0.5158730158730159
25,102,3,0.5783365570599613,0.2976190476190476,0.6944444444444444,0.46078431372549017
50,82,3,0.5335144927536232,0.3333333333333333,0.5915094339622642,0.43902439024390244
100,67,3,0.5356481481481481,0.42592592592592593,0.6221255790015426,0.40298507462686567
250,27,2,0.5912698412698413,0.5,0.6666666666666666,0.2222222222222222
