model,budget,arm,mean,lo,hi
gpt-3.5-turbo-1106,500,ADAPTIVE-escal+thompson,0.95,0.95,0.95
gpt-3.5-turbo-1106,500,ADAPTIVE-escalation,0.95,0.95,0.95
gpt-3.5-turbo-1106,500,ADAPTIVE-succ-halving,0.95,0.95,0.95
gpt-3.5-turbo-1106,500,ADAPTIVE-thompson,0.95,0.95,0.95
gpt-3.5-turbo-1106,500,ORACLE,0.95,0.95,0.95
gpt-3.5-turbo-1106,500,STATIC-best-method(oracle),0.93,0.93,0.93
gpt-3.5-turbo-1106,500,STATIC-round-robin,0.95,0.95,0.95
gpt-3.5-turbo-1106,500,STATIC-single-method,0.5450666666666666,0.5068666666666667,0.5822350000000001
gpt-4-0125-preview,25,ADAPTIVE-escal+thompson,0.14240000000000003,0.138865,0.14593333333333333
gpt-4-0125-preview,25,ADAPTIVE-escalation,0.009566666666666668,0.0086,0.010534166666666666
gpt-4-0125-preview,25,ADAPTIVE-succ-halving,0.12693333333333334,0.12359833333333332,0.12993583333333333
gpt-4-0125-preview,25,ADAPTIVE-thompson,0.1408666666666667,0.1374,0.14446750000000003
gpt-4-0125-preview,25,ORACLE,0.25,0.25,0.25
gpt-4-0125-preview,25,STATIC-best-method(oracle),0.19643333333333332,0.1943658333333333,0.19849999999999998
gpt-4-0125-preview,25,STATIC-round-robin,0.009566666666666668,0.0086,0.010534166666666666
gpt-4-0125-preview,25,STATIC-single-method,0.07693333333333333,0.06803166666666667,0.08627083333333332
gpt-4-0125-preview,50,ADAPTIVE-escal+thompson,0.3253333333333333,0.32129749999999996,0.3295675
gpt-4-0125-preview,50,ADAPTIVE-escalation,0.020099999999999996,0.018933333333333333,0.021266666666666666
gpt-4-0125-preview,50,ADAPTIVE-succ-halving,0.2632666666666667,0.26026583333333336,0.26626666666666665
gpt-4-0125-preview,50,ADAPTIVE-thompson,0.3196333333333333,0.31536583333333335,0.32410250000000007
gpt-4-0125-preview,50,ORACLE,0.5,0.5,0.5
gpt-4-0125-preview,50,STATIC-best-method(oracle),0.39283333333333337,0.39059916666666666,0.39533416666666665
gpt-4-0125-preview,50,STATIC-round-robin,0.020099999999999996,0.018933333333333333,0.021266666666666666
gpt-4-0125-preview,50,STATIC-single-method,0.15476666666666664,0.13729916666666667,0.17310333333333336
gpt-4-0125-preview,100,ADAPTIVE-escal+thompson,0.7032333333333334,0.6997991666666666,0.7063333333333333
gpt-4-0125-preview,100,ADAPTIVE-escalation,0.04,0.04,0.04
gpt-4-0125-preview,100,ADAPTIVE-succ-halving,0.5067333333333334,0.5032975000000001,0.5100358333333335
gpt-4-0125-preview,100,ADAPTIVE-thompson,0.6884666666666667,0.6839974999999999,0.6927008333333333
gpt-4-0125-preview,100,ORACLE,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,100,STATIC-best-method(oracle),0.7800000000000001,0.7800000000000001,0.7800000000000001
gpt-4-0125-preview,100,STATIC-round-robin,0.04,0.04,0.04
gpt-4-0125-preview,100,STATIC-single-method,0.30833333333333335,0.27199166666666663,0.345205
